Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	306.58197	306.58197	306.58197	306.58197	0	0	0	24.8791	0	0	3
2	2	0	0.05	315.525729	311.05385	306.58197	315.525729	4.47187909	0	0	42.8141	0	0	3
3	2	0	0.075	320.670754	314.259484	306.58197	320.670754	7.67751384	0	0	60.4515	0	0	3
4	2	0	0.1	323.689528	316.616995	306.58197	323.689528	10.0350249	0	0	77.9969	0	0	3
5	3	0	0.125	326.207474	318.535091	306.58197	326.207474	11.9531206	0	0	102.382	0	0	3
6	3	0	0.15	326.9834	319.943142	306.58197	326.9834	13.361172	0	0	118.049	0	0	3
7	3	0	0.175	327.463408	321.017466	306.58197	327.463408	14.4354957	0	0	139.251	0	0	3
8	4	0	0.2	327.723483	321.855718	306.58197	327.723483	15.2737479	0	0	130.502	0	0	3
9	4	0	0.225	326.574413	322.380018	306.58197	327.723483	15.7980473	0	0	101.204	0	0	3
10	4	0	0.25	325.654824	322.707498	306.58197	327.723483	16.1255279	0	0	94.7396	0	0	3
11	4	0	0.275	324.829886	322.900443	306.58197	327.723483	16.3184723	0	0	88.2381	0	0	3
12	5	0	0.3	324.429765	323.027886	306.58197	327.723483	16.4459158	0	0	93.2668	0	0	3
13	5	0	0.325	324.582817	323.147496	306.58197	327.723483	16.5655259	0	0	114.816	0	0	3
14	5	0	0.35	324.725527	323.260213	306.58197	327.723483	16.6782423	0	0	128.405	0	0	3
15	6	0	0.375	325.205113	323.389873	306.58197	327.723483	16.8079023	0	0	119.289	0	0	3
16	6	0	0.4	324.943727	323.486989	306.58197	327.723483	16.9050182	0	0	107.753	0	0	3
17	6	0	0.425	324.603554	323.552669	306.58197	327.723483	16.9706985	0	0	92.6363	0	0	3
18	7	0	0.45	324.814483	323.62277	306.58197	327.723483	17.0407993	0	0	109.5	0	0	3
19	7	0	0.475	324.863656	323.688079	306.58197	327.723483	17.1061091	0	0	95.4476	0	0	3
20	7	0	0.5	325.056468	323.756499	306.58197	327.723483	17.1745285	0	0	85.9607	0	0	3
21	7	0	0.525	325.624259	324.708613	315.525729	327.723483	12.1977548	0	0	96.6552	0	0	3
22	8	0	0.55	326.06475	325.235564	320.670754	327.723483	7.05272961	0	0	111.903	0	0	3
23	8	0	0.575	326.678587	325.535956	323.689528	327.723483	4.03395497	0	0	112.387	0	0	3
24	9	0	0.6	327.150942	325.709027	324.429765	327.723483	3.29371852	0	0	135.505	0	0	3
25	9	0	0.625	327.592921	325.778299	324.429765	327.723483	3.29371852	0	0	138.428	0	0	3
26	9	0	0.65	328.07468	325.832863	324.429765	328.07468	3.64491489	0	0	147.718	0	0	3
27	10	0	0.675	328.777623	325.898574	324.429765	328.777623	4.04285554	0	0	171.603	0	0	3
28	10	0	0.7	329.627181	325.993759	324.429765	329.627181	3.61374101	0	0	194.596	0	0	3
29	10	0	0.725	330.287739	326.179425	324.429765	330.287739	3.47192665	0	0	212.713	0	0	3
30	11	0	0.75	330.595795	326.426474	324.429765	330.595795	3.52603087	0	0	209.581	0	0	3
31	11	0	0.775	331.144523	326.742205	324.429765	331.144523	3.7143192	0	0	223.427	0	0	3
32	11	0	0.8	331.416342	327.091534	324.582817	331.416342	3.94403796	0	0	227.593	0	0	3
33	12	0	0.825	331.852932	327.45504	324.603554	331.852932	4.19482724	0	0	233.642	0	0	3
34	12	0	0.85	332.136199	327.825574	324.603554	332.136199	4.43570086	0	0	238.938	0	0	3
35	12	0	0.875	332.684662	328.199551	324.603554	332.684662	4.71256242	0	0	245.172	0	0	3
36	13	0	0.9	332.704846	328.587607	324.603554	332.704846	5.03493808	0	0	255.93	0	0	3
37	13	0	0.925	332.702672	328.992563	324.814483	332.704846	5.36979323	0	0	237.203	0	0	3
38	13	0	0.95	333.048136	329.404246	324.863656	333.048136	5.71616609	0	0	240.378	0	0	3
39	14	0	0.975	333.259731	329.824049	325.056468	333.259731	6.06755044	0	0	223.943	0	0	3
40	14	0	1	333.272301	330.234841	325.624259	333.272301	5.52622768	1.67671142	30.3	233.123	0	0	3
41	14	0	1.025	333.549222	330.631089	326.06475	333.549222	5.3955248	1.71355751	31.7	220.547	0	0	3
42	15	0	1.05	333.959177	331.025811	326.678587	333.959177	5.48985446	1.74083098	31.7	224.451	0	0	3
43	15	0	1.075	333.884896	331.386126	327.150942	333.959177	5.67709919	1.67671142	29.5	226.726	0	0	3
44	15	0	1.1	334.048098	331.512887	327.150942	334.048098	5.80385979	1.67671142	28.8	223.036	0	0	3
45	16	0	1.125	333.599859	331.819978	327.592921	334.048098	6.04167876	1.67671142	27.7	221.733	0	0	3
46	16	0	1.15	333.733848	332.112403	328.07468	334.048098	5.97341878	1.67671142	28	219.523	0	0	3
47	16	0	1.175	333.562727	332.373739	328.777623	334.048098	5.27047528	1.67671142	31.8	215.955	0	0	3
48	17	0	1.2	333.533821	332.600224	329.627181	334.048098	4.42091788	1.67671142	37.9	215.523	0	0	3
49	17	0	1.225	333.344437	332.777236	330.287739	334.048098	3.76035962	1.67671142	44.5	212.999	0	0	3
50	18	0	1.25	333.128215	332.912497	330.595795	334.048098	3.4523031	1.67671142	48.5	211.352	0	0	3
51	18	0	1.275	333.138998	333.033602	331.144523	334.048098	2.9035757	1.67671142	57.7	207.526	0	0	3
52	18	0	1.3	333.305617	333.136511	331.416342	334.048098	2.63175665	1.67671142	63.7	212.056	0	0	3
53	19	0	1.325	332.983388	333.211132	331.852932	334.048098	2.19516644	1.67671142	76.3	194.841	0	0	3
54	19	0	1.35	333.362495	333.283016	332.136199	334.048098	1.91189938	1.67671142	87.6	197.547	0	0	3
55	20	0	1.375	333.18919	333.333159	332.684662	334.048098	1.36343689	1.67671142	100	210.779	0	0	3
56	20	0	1.4	333.754608	333.384109	332.702672	334.048098	1.34542639	1.67671142	100	215.755	0	0	3
57	20	0	1.425	333.569082	333.425263	332.702672	334.048098	1.34542639	1.67671142	100	216.489	0	0	3
58	21	0	1.45	333.721475	333.473777	332.983388	334.048098	1.06471035	1.67671142	100	216.851	0	0	3
59	21	0	1.475	333.500201	333.495304	332.983388	334.048098	1.06471035	1.67671142	100	212.078	0	0	3
60	21	0	1.5	333.95389	333.528359	332.983388	334.048098	1.06471035	1.67671142	100	216.886	0	0	3
61	22	0	1.525	333.536599	333.540945	332.983388	334.048098	1.06471035	1.67671142	100	205.527	0	0	3
62	22	0	1.55	333.947804	333.559925	332.983388	334.048098	1.06471035	1.67671142	100	210.726	0	0	3
63	22	0	1.575	333.626843	333.5441	332.983388	334.048098	1.06471035	1.67671142	100	202.024	0	0	3
64	23	0	1.6	333.748808	333.537619	332.983388	334.048098	1.06471035	1.67671142	100	209.495	0	0	3
65	23	0	1.625	333.773065	333.524522	332.983388	333.95389	0.97050164	1.67671142	100	209.28	0	0	3
66	23	0	1.65	333.865108	333.537153	332.983388	333.95389	0.97050164	1.67671142	100	213.32	0	0	3
67	24	0	1.675	333.781078	333.539402	332.983388	333.95389	0.97050164	1.67671142	100	208.385	0	0	3
68	24	0	1.7	333.809249	333.551141	332.983388	333.95389	0.959700917	1.67671142	100	208.193	0	0	3
69	24	0	1.725	333.791135	333.563395	332.983388	333.95389	0.786158225	1.67671142	100	208.964	0	0	3
70	25	0	1.75	333.738043	333.582138	332.983388	333.95389	0.669640631	1.67671142	100	204.312	0	0	3
