Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	8840.11161	8840.11161	8840.11161	8840.11161	0	0	0	0	0	0	3
2	2	0	0.05	36106.2631	22473.1874	8840.11161	36106.2631	13633.0758	0	0	0	0	0	3
3	3	0	0.075	46692.8481	30546.4076	8840.11161	46692.8481	21706.296	0	0	0	0	0	3
4	3	0	0.1	51816.7551	35863.9945	8840.11161	51816.7551	27023.8829	0	0	0	0	0	3
5	4	0	0.125	53287.1823	39348.6321	8840.11161	53287.1823	30508.5205	0	0	0	0	0	3
6	4	0	0.15	52970.3475	41618.918	8840.11161	53287.1823	32778.8064	0	0	0	0	0	3
7	5	0	0.175	53310.6251	43289.1618	8840.11161	53310.6251	34449.0502	0	0	0	0	0	3
8	5	0	0.2	53547.8538	44571.4983	8840.11161	53547.8538	35731.3867	0	0	0	0	0	3
9	5	0	0.225	53498.5056	45563.388	8840.11161	53547.8538	36723.2764	0	0	0	0	0	3
10	6	0	0.25	53761.5297	46383.2022	8840.11161	53761.5297	37543.0906	0	0	0	0	0	3
11	6	0	0.275	53881.8672	47064.899	8840.11161	53881.8672	38224.7874	0	0	0	0	0	3
12	7	0	0.3	53751.9745	47622.1553	8840.11161	53881.8672	38782.0437	0	0	0	0	0	3
13	7	0	0.325	54246.4792	48131.7187	8840.11161	54246.4792	39291.6071	0	0	0	0	0	3
14	8	0	0.35	54799.7158	48608.0042	8840.11161	54799.7158	39767.8926	0	0	0	0	0	3
15	8	0	0.375	53699.3547	48947.4276	8840.11161	54799.7158	40107.3159	0	0	0	0	0	3
16	9	0	0.4	54047.785	49266.1999	8840.11161	54799.7158	40426.0883	0	0	0	0	0	3
17	9	0	0.425	53389.0217	49508.7188	8840.11161	54799.7158	40668.6072	0	0	0	0	0	3
18	9	0	0.45	53260.591	49717.1562	8840.11161	54799.7158	40877.0446	0	0	0	0	0	3
19	10	0	0.475	53530.4876	49917.8578	8840.11161	54799.7158	41077.7462	0	0	0	0	0	3
20	11	0	0.5	53735.5806	50108.744	8840.11161	54799.7158	41268.6324	0	0	0	0	0	3
21	11	0	0.525	53567.2482	52345.1008	36106.2631	54799.7158	18693.4527	0	0	0	0	0	3
22	12	0	0.55	54039.8422	53241.7797	46692.8481	54799.7158	8106.86766	0	0	0	0	0	3
23	12	0	0.575	53802.6769	53597.2712	51816.7551	54799.7158	2982.96067	0	0	0	0	0	3
24	13	0	0.6	53723.6335	53692.6151	52970.3475	54799.7158	1829.36827	0	0	0	0	0	3
25	13	0	0.625	53790.0279	53717.7574	52970.3475	54799.7158	1829.36827	0	0	0	0	0	3
26	14	0	0.65	53584.6375	53748.4719	53260.591	54799.7158	1539.12481	0	0	0	0	0	3
27	14	0	0.675	53655.2752	53765.7044	53260.591	54799.7158	1539.12481	0	0	0	0	0	3
28	15	0	0.7	53584.0288	53767.5131	53260.591	54799.7158	1539.12481	0	0	0	0	0	3
29	15	0	0.725	53958.1175	53790.4937	53260.591	54799.7158	1539.12481	0	0	0	0	0	3
30	16	0	0.75	53652.433	53785.0389	53260.591	54799.7158	1539.12481	0	0	0	0	0	3
31	16	0	0.775	53078.8863	53744.8899	53078.8863	54799.7158	1720.82949	0	0	0	0	0	3
32	17	0	0.8	53922.2488	53753.4036	53078.8863	54799.7158	1720.82949	0	0	0	0	0	3
33	17	0	0.825	53356.6579	53708.9125	53078.8863	54799.7158	1720.82949	0	0	0	0	0	3
34	18	0	0.85	53583.675	53648.1105	53078.8863	54047.785	968.898709	0	0	0	0	0	3
35	18	0	0.875	53187.9005	53622.5378	53078.8863	54047.785	968.898709	0	0	0	0	0	3
36	19	0	0.9	53963.1891	53618.308	53078.8863	54039.8422	960.955921	0	0	0	0	0	3
