Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	306.790858	306.790858	306.790858	306.790858	0	0	0	24.8791	0	0	3
2	2	0	0.05	315.874482	311.33267	306.790858	315.874482	4.54181178	0	0	47.4532	0	0	3
3	3	0	0.075	321.161258	314.608866	306.790858	321.161258	7.81800782	0	0	66.8416	0	0	3
4	3	0	0.1	323.383749	316.802587	306.790858	323.383749	10.0117286	0	0	65.4352	0	0	3
5	4	0	0.125	324.006781	318.243426	306.790858	324.006781	11.4525674	0	0	78.2949	0	0	3
6	4	0	0.15	324.696279	319.318901	306.790858	324.696279	12.5280429	0	0	78.2544	0	0	3
7	5	0	0.175	325.305688	320.174156	306.790858	325.305688	13.3832981	0	0	96.7755	0	0	3
8	5	0	0.2	325.610482	320.853697	306.790858	325.610482	14.0628388	0	0	112.256	0	0	3
9	5	0	0.225	326.008716	321.426477	306.790858	326.008716	14.6356187	0	0	131.481	0	0	3
10	6	0	0.25	326.386495	321.922479	306.790858	326.386495	15.1316204	0	0	134.298	0	0	3
11	6	0	0.275	326.467384	322.335652	306.790858	326.467384	15.5447937	0	0	112.484	0	0	3
12	7	0	0.3	326.573509	322.688807	306.790858	326.573509	15.8979485	0	0	93.4648	0	0	3
13	7	0	0.325	326.796929	323.004816	306.790858	326.796929	16.2139578	0	0	93.541	0	0	3
14	8	0	0.35	326.549234	323.257989	306.790858	326.796929	16.4671305	0	0	98.9688	0	0	3
15	8	0	0.375	326.933175	323.503001	306.790858	326.933175	16.712143	0	0	108.173	0	0	3
16	9	0	0.4	327.093096	323.727382	306.790858	327.093096	16.9365239	0	0	119.734	0	0	3
17	9	0	0.425	327.515203	323.950195	306.790858	327.515203	17.1593368	0	0	127.892	0	0	3
18	9	0	0.45	327.943269	324.172033	306.790858	327.943269	17.3811743	0	0	139.117	0	0	3
19	10	0	0.475	328.387184	324.393883	306.790858	328.387184	17.6030243	0	0	136.568	0	0	3
20	11	0	0.5	328.452656	324.596821	306.790858	328.452656	17.805963	0	0	128.772	0	0	3
21	11	0	0.525	328.516066	325.683082	315.874482	328.516066	12.6415844	0	0	136.629	0	0	3
22	12	0	0.55	328.423035	326.310509	321.161258	328.516066	7.35480806	0	0	128.157	0	0	3
23	12	0	0.575	328.798413	326.692367	323.383749	328.798413	5.41466407	0	0	134.872	0	0	3
24	13	0	0.6	328.771636	326.961761	324.006781	328.798413	4.79163277	0	0	115.622	0	0	3
25	13	0	0.625	328.702042	327.196524	324.696279	328.798413	4.10213455	0	0	101.062	0	0	3
