Iteration	CPUTime	PhysTime	Travels	CourFact
1	2	0	0.025	0
2	2	0	0.05	0
3	2	0	0.075	0
4	3	0	0.1	0
5	3	0	0.125	0
6	3	0	0.15	0
7	4	0	0.175	0
8	4	0	0.2	0
9	5	0	0.225	0
10	5	0	0.25	0
11	5	0	0.275	0
12	6	0	0.3	0
13	6	0	0.325	0
14	6	0	0.35	0
15	7	0	0.375	0
16	7	0	0.4	0
17	7	0	0.425	0
18	8	0	0.45	0
19	8	0	0.475	0
20	8	0	0.5	0
21	9	0	0.525	0
22	9	0	0.55	0
23	10	0	0.575	0
24	10	0	0.6	0
25	10	0	0.625	0
26	11	0	0.65	0
27	11	0	0.675	0
28	11	0	0.7	0
29	12	0	0.725	0
30	12	0	0.75	0
31	12	0	0.775	0
32	13	0	0.8	0
33	13	0	0.825	0
34	13	0	0.85	0
35	14	0	0.875	0
36	14	0	0.9	0
37	14	0	0.925	0
38	15	0	0.95	0
39	15	0	0.975	0
40	15	0	1	0
41	16	0	1.025	0
42	16	0	1.05	0
43	16	0	1.075	0
44	17	0	1.1	0
45	17	0	1.125	0
46	17	0	1.15	0
47	18	0	1.175	0
48	18	0	1.2	0
49	18	0	1.225	0
50	19	0	1.25	0
51	19	0	1.275	0
52	20	0	1.3	0
53	20	0	1.325	0
54	21	0	1.35	0
55	21	0	1.375	0
56	21	0	1.4	0
57	22	0	1.425	0
58	22	0	1.45	0
59	22	0	1.475	0
60	23	0	1.5	0
61	23	0	1.525	0
62	23	0	1.55	0
63	24	0	1.575	0
64	24	0	1.6	0
65	24	0	1.625	0
66	25	0	1.65	0
67	25	0	1.675	0
68	25	0	1.7	0
69	26	0	1.725	0
70	26	0	1.75	0
71	26	0	1.775	0
72	27	0	1.8	0
73	27	0	1.825	0
74	27	0	1.85	0
75	28	0	1.875	0
76	28	0	1.9	0
77	28	0	1.925	0
78	29	0	1.95	0
79	29	0	1.975	0
80	29	0	2	0
81	30	0	2.025	0
82	30	0	2.05	0
83	31	0	2.075	0
84	31	0	2.1	0
85	31	0	2.125	0
86	32	0	2.15	0
87	32	0	2.175	0
88	32	0	2.2	0
89	33	0	2.225	0
90	33	0	2.25	0
91	33	0	2.275	0
92	34	0	2.3	0
93	34	0	2.325	0
94	34	0	2.35	0
95	35	0	2.375	0
96	35	0	2.4	0
97	35	0	2.425	0
98	36	0	2.45	0
99	36	0	2.475	0
100	36	0	2.5	0
101	37	0	2.525	0
102	37	0	2.55	0
103	38	0	2.575	0
104	38	0	2.6	0
105	38	0	2.625	0
106	39	0	2.65	0
107	39	0	2.675	0
108	40	0	2.7	0
109	40	0	2.725	0
110	41	0	2.75	0
111	41	0	2.775	0
112	41	0	2.8	0
113	42	0	2.825	0
114	42	0	2.85	0
115	42	0	2.875	0
116	43	0	2.9	0
117	43	0	2.925	0
118	43	0	2.95	0
119	44	0	2.975	0
120	44	0	3	0
121	44	0	3.025	0
122	45	0	3.05	0
123	45	0	3.075	0
124	45	0	3.1	0
125	46	0	3.125	0
126	46	0	3.15	0
127	46	0	3.175	0
128	46	0	3.2	0
129	47	0	3.225	0
